item;qtd_cx
81101032204;0
PG23LA134IN00;0
81101032301;0
PG23LA131MA00;0
PG22MA135SD00;0
PG22SA135SD00;0
PG22PA135SD00;0
81101032302;0
PG23LA132MA00;0
81101032302;0
PG23LA133MA00;0
81101032304;0
PG23LA134MA00;0
81101032401;0
PG23LA131FO00;0
PG22MA135SD00;0
PG22SA135SD00;0
PG22PA135SD00;0
81101032402;0
PG23LA132FO00;0
81101032402;0
PG23LA133FO00;0
81101032404;0
PG23LA134FO00;0
81101032501;0
PG23LA131FL00;0
PG22MA135SD00;0
PG22SA135SD00;0
PG22PA135SD00;0
81101032502;0
PG24LA255SDIA;1
81101109801;0
PG24LA255SDE0;31
81101109901;30
PG23LA255SDI0;30
81101110101;12
PG24LA261SD00;12
81101110102;13
PG24LA262SD00;13
81101110103;0
PG24LA263SD00;13
81101110104;0
PG24LA264SD00;14
81101110201;12
PG24LA261ZJ00;12
81101110202;0
PG24LA262ZJ00;0
81101110203;0
PG24LA263ZJ00;0
81101110204;0
PG24LA264ZJ00;0
81101110301;12
PG24LA261ZA00;12
81101110302;0
PG24LA262ZA00;13
81101110303;0
PG24LA263ZA00;13
81101110304;0
PG24LA264ZA00;15
81101110501;12
PG24LA261ST00;12
81101110502;13
PG24LA262ST00;13
81101110503;0
PG24LA263ST00;13
81101110504;15
PG24LA264ST00;15
PG24EA445SD00;17
81101889601;0
PG23LA335SDW0;40
81101889701;0
PG23LA335SDS0;30
81101889801;25
PG23LA335SDA1;19
81101889901;0
PG23LA335SDE0;21
81101170101;5
PG24LA411SD00;5
81101170102;5
PG24LA412SD00;5
81101170103;0
PG24LA413SD00;5
81101170104;4
PG24LA414SD01;4
PG24LA414SD02;4
81101170201;5
PG24LA411ZJ00;5
81101170202;0
PG24LA412ZJ00;0
81101170203;0
PG24LA413ZJ00;0
81101170204;0
PG24LA414ZJ01;0
PG24LA414ZJ02;0
81101170301;5
PG24LA411ZA00;5
81101170302;5
PG24LA412ZA00;5
81101170303;0
PG24LA413ZA00;5
81101170304;4
PG24LA414ZA01;0
PG24LA414ZA02;0
81101170401;5
PG24LA411ST00;5
PG23PP145SD00;4
PG23SP145SD01;4
PG23SP145SD02;4
PG23SP145SD00;4
81102040102;0
PG24LP142SD00;0
81102040102;0
PG24LP143SD00;0
81102040104;0
PG24LP144SD00;0
811020496;0
PG22KP215SD0D;50
PG22YP215SD0D;99
811020497;0
PG22KP215SD0M;50
PG22YP215SD0M;99
81102049801;0
PG22BP145SD00;80
81102049901;0
PG22LP145SDI0;40
81102050101;0
81102050102;0
81102050102;0
81102050104;0
811020595;0
PG23KP145SD0D;5
811020596;0
PG23KP145SD0M;5
81102069901;0
PG23LP215SDI0;30
81102070101;0
PG24LP221SDLH;18
PG24LP221SDMC;26
PG24LP221SDW0;85
81102070102;0
PG24LP222SDLH;20
PG24LP222SDMC;28
PG24LP222SDW0;99
81102070103;0
PG24LP223SDLH;10
PG24LP223SDMC;10
PG24LP223SDW0;10
81102070104;0
PG24LP224SDLH;10
PG24LP224SDMC;10
PG24LP224SDW0;10
81102079701;30
9786553530546;30
81102079801;0
PG24LP225SDE0;30
81102079901;0
PG23LP225SDI0;28
81102080101;0
PG24LP231SDLH;18
PG24LP231SDMC;26
PG24LP231SDW0;90
81102080102;0
PG24LP232SDLH;20
PG24LP232SDMC;30
PG24LP232SDW0;99
81102080103;0
PG24LP233SDLH;10
PG24LP233SDMC;10
PG24LP233SDW0;10
81102080104;0
PG24LP234SDLH;10
PG24LP234SDMC;10
PG24LP234SDW0;10
81102089701;30
9786553530485;30
81102089801;0
PG24LP235SDE0;30
81102089901;0
PG23LP235SDI0;28
81102090101;0
PG24LP241SDLH;18
PG24LP241SDMC;28
PG24LP241SDW0;90
81102090102;0
PG24LP242SDLH;20
PG24LP242SDMC;30
PG24LP242SDW0;99
81102090103;0
PG24LP254SDMC;10
PG24LP254SDW0;10
81102109301;30
9786553530386;30
81102109401;30
9786581061012;30
81102109501;30
9786581061012;30
81102109601;30
9788564474611;30
81102109701;0
PG24LP475SD00;50
81102109801;0
